Unnamed: 0,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,csv_file
11,4,Luke Walton,SF,6-8,235,"March 28, 1980",us,6,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
12,37,Metta World Peace,SF,6-6,260,"November 13, 1979",us,10,St. John's University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
0,20,Ray Allen,SG,6-5,205,"July 20, 1975",us,13,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
1,42,Tony Allen,SG,6-4,213,"January 11, 1982",us,5,"Butler County Community College, Oklahoma State University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
2,7,Marquis Daniels,SF,6-6,200,"January 7, 1981",us,6,Auburn University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
3,11,Glen Davis,PF,6-9,289,"January 1, 1986",us,2,Louisiana State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
4,40,Michael Finley,SF,6-7,215,"March 6, 1973",us,14,University of Wisconsin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
5,5,Kevin Garnett,PF,6-11,240,"May 19, 1976",us,14,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
6,4,J.R. Giddens,SF,6-5,215,"February 13, 1985",us,1,"University of Kansas, University of New Mexico",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
7,50,Eddie House,PG,6-1,180,"May 14, 1978",us,9,Arizona State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
8,26,Lester Hudson,PG,6-3,190,"August 7, 1984",us,R,University of Tennessee at Martin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
9,40,Oliver Lafayette,SG,6-2,190,"May 6, 1984",us,R,University of Houston,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
10,12,Marcus Landry,SF,6-7,230,"November 1, 1985",us,R,University of Wisconsin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
11,43,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,6,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
12,34,Paul Pierce,SF,6-7,235,"October 13, 1977",us,11,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
13,4,Nate Robinson,PG,5-9,180,"May 31, 1984",us,4,University of Washington,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
14,9,Rajon Rondo,PG,6-1,186,"February 22, 1986",us,3,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
15,44,Brian Scalabrine,PF,6-9,241,"March 18, 1978",us,8,University of Southern California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
16,12,Henry Walker,SF,6-6,220,"October 9, 1987",us,1,Kansas State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
17,30,Rasheed Wallace,C,6-10,225,"September 17, 1974",us,14,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
18,13,Shelden Williams,PF,6-9,250,"October 21, 1983",us,3,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
0,17,Lou Amundson,PF,6-9,220,"December 7, 1982",us,3,"University of Nevada, Las Vegas",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
1,10,Leandro Barbosa,PG,6-3,194,"November 28, 1982",br,6,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
2,55,Earl Clark,PF,6-10,225,"January 17, 1988",us,R,University of Louisville,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
3,20,Jarron Collins,C,6-11,255,"December 2, 1978",us,8,Stanford University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
4,2,Goran Dragić,PG,6-3,190,"May 6, 1986",si,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
5,3,Jared Dudley,SF,6-7,237,"July 10, 1985",us,2,Boston College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
6,8,Channing Frye,C,7-0,255,"May 17, 1983",us,4,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
7,32,Taylor Griffin,SF,6-7,238,"April 18, 1986",us,R,University of Oklahoma,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
8,33,Grant Hill,SF,6-8,225,"October 5, 1972",us,14,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
9,21,Dwayne Jones,PF,6-11,250,"June 9, 1983",us,4,Saint Joseph's University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
10,15,Robin Lopez,C,7-0,275,"April 1, 1988",us,1,Stanford University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
11,13,Steve Nash,PG,6-3,195,"February 7, 1974",za,13,Santa Clara University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
12,23,Jason Richardson,SG,6-6,220,"January 20, 1981",us,8,Michigan State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
13,1,Amar'e Stoudemire,PF,6-10,245,"November 16, 1982",us,7,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
14,29,Alando Tucker,SF,6-6,205,"February 11, 1984",us,2,University of Wisconsin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
0,33,Ryan Anderson,PF,6-10,240,"May 6, 1988",us,1,University of California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
1,22,Matt Barnes,SF,6-7,226,"March 9, 1980",us,6,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
2,30,Brandon Bass,PF,6-8,250,"April 30, 1985",us,4,Louisiana State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
3,15,Vince Carter,SG,6-6,220,"January 26, 1977",us,11,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
4,13,Marcin Gortat,C,6-11,240,"February 17, 1984",pl,2,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
5,12,Dwight Howard,C,6-11,265,"December 8, 1985",us,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
6,8,Anthony Johnson,PG,6-3,190,"October 2, 1974",us,12,College of Charleston,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
7,9,Rashard Lewis,PF,6-10,215,"August 8, 1979",us,11,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
8,14,Jameer Nelson,PG,6-0,190,"February 9, 1982",us,5,Saint Joseph's University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
9,20,Micka�l Pi�trus,SF,6-6,215,"February 7, 1982",gp,6,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
10,7,J.J. Redick,SG,6-4,200,"June 24, 1984",us,3,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
11,44,Jason Williams,PG,6-1,190,"November 18, 1975",us,10,"Marshall University, University of Florida",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
0,1,Daniel Gibson,PG,6-2,190,"February 27, 1986",us,3,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
1,14,Danny Green,SG,6-6,215,"June 22, 1987",us,R,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
2,21,J.J. Hickson,PF,6-9,242,"September 4, 1988",us,1,North Carolina State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
3,11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt,11,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
4,9,Cedric Jackson,PG,6-3,191,"March 5, 1986",us,R,"St. John's University, Cleveland State University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
5,0,Darnell Jackson,PF,6-9,253,"November 7, 1985",us,1,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
6,23,LeBron James,SF,6-8,250,"December 30, 1984",us,6,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
7,4,Antawn Jamison,PF,6-8,223,"June 12, 1976",us,11,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
8,5,Coby Karl,SG,6-5,215,"March 6, 1983",us,1,Boise State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
9,15,Jamario Moon,SF,6-8,205,"June 13, 1980",us,2,Meridian Community College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
10,33,Shaquille O'Neal,C,7-1,325,"March 6, 1972",us,17,Louisiana State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
11,18,Anthony Parker,SG,6-6,215,"June 19, 1975",us,6,Bradley University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
12,44,Leon Powe,SF,6-8,240,"January 22, 1984",us,3,University of California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
13,3,Sebastian Telfair,PG,6-0,165,"June 9, 1985",us,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
14,17,Anderson Varej�o,PF,6-10,273,"September 28, 1982",br,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
15,13,Delonte West,SG,6-4,180,"July 26, 1983",us,5,Saint Joseph's University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
16,31,Jawad Williams,PG,6-9,218,"February 19, 1983",us,1,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
17,2,Mo Williams,PG,6-1,198,"December 19, 1982",us,6,University of Alabama,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
0,5,Carlos Boozer,PF,6-9,258,"November 20, 1981",de,7,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
1,9,Ronnie Brewer,SG,6-7,220,"March 20, 1985",us,3,University of Arkansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
2,44,Kyrylo Fesenko,C,7-1,288,"December 24, 1986",ua,2,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
3,15,Sundiata Gaines,PG,6-1,185,"April 18, 1986",us,R,University of Georgia,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
4,6,Othyus Jeffers,SG,6-5,200,"August 5, 1985",us,R,"University of Illinois at Chicago, Robert Morris University (IL)",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
5,47,Andrei Kirilenko,SF,6-9,220,"February 18, 1981",ru,8,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
6,26,Kyle Korver,SG,6-7,212,"March 17, 1981",us,6,Creighton University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
7,41,Kosta Koufos,C,7-0,245,"February 24, 1989",us,1,Ohio State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
8,23,Wesley Matthews,SG,6-5,220,"October 14, 1986",us,R,Marquette University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
9,3,Eric Maynor,PG,6-3,175,"June 11, 1987",us,R,Virginia Commonwealth University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
10,34,C.J. Miles,SF,6-6,220,"March 18, 1987",us,4,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
11,24,Paul Millsap,PF,6-8,246,"February 10, 1985",us,3,Louisiana Tech University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
12,13,Mehmet Okur,C,6-11,249,"May 26, 1979",tr,7,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
13,17,Ronnie Price,PG,6-2,190,"June 21, 1983",us,4,"Nicholls State University, Utah Valley State College",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
14,8,Deron Williams,PG,6-3,200,"June 26, 1984",us,4,University of Illinois at Urbana-Champaign,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
0,10,Mike Bibby,PG,6-1,190,"May 13, 1978",us,11,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
1,34,Jason Collins,C,7-0,255,"December 2, 1978",us,8,Stanford University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
2,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",us,9,University of Michigan,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
3,1,Maurice Evans,SF,6-5,220,"November 8, 1978",us,6,"Wichita State University, University of Texas at Austin",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
4,15,Al Horford,C,6-10,245,"June 3, 1986",do,2,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
5,50,Othello Hunter,SF,6-8,225,"May 28, 1986",us,1,Ohio State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
6,2,Joe Johnson,SG,6-7,240,"June 29, 1981",us,8,University of Arkansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
7,33,Randolph Morris,PF,6-10,266,"January 2, 1986",us,3,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
8,27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge,6,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
9,32,Joe Smith,PF,6-10,225,"July 26, 1975",us,14,University of Maryland,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
10,5,Josh Smith,PF,6-9,225,"December 5, 1985",us,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
11,0,Jeff Teague,PG,6-2,195,"June 10, 1988",us,R,Wake Forest University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
12,6,Mario West,SG,6-5,210,"June 19, 1984",us,2,Georgia Institute of Technology,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
13,24,Marvin Williams,SF,6-9,237,"June 19, 1986",us,4,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
0,45,DeJuan Blair,PF,6-7,270,"April 22, 1989",us,R,University of Pittsburgh,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
1,10,Keith Bogans,SF,6-5,215,"May 12, 1980",us,6,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
2,15,Matt Bonner,PF,6-10,235,"April 5, 1980",us,5,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
3,21,Tim Duncan,C,6-11,250,"April 25, 1976",vi,12,Wake Forest University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
4,4,Michael Finley,SF,6-7,215,"March 6, 1973",us,14,University of Wisconsin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
5,20,Manu Gin�bili,SG,6-6,205,"July 28, 1977",ar,7,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
6,1,Malik Hairston,SG,6-6,220,"February 23, 1987",us,1,University of Oregon,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
7,22,Marcus Haislip,SF,6-10,230,"December 22, 1980",us,3,University of Tennessee,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
8,3,George Hill,PG,6-3,188,"May 4, 1986",us,1,Indiana University-Purdue University Indianapolis,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
9,11,Cedric Jackson,PG,6-3,191,"March 5, 1986",us,R,"St. John's University, Cleveland State University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
10,24,Richard Jefferson,SF,6-7,233,"June 21, 1980",us,8,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
11,28,Ian Mahinmi,C,6-11,262,"November 5, 1986",fr,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
12,8,Roger Mason,SG,6-5,200,"September 10, 1980",us,5,University of Virginia,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
13,34,Antonio McDyess,PF,6-9,220,"September 7, 1974",us,13,University of Alabama,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2010.csv
